<TICKER>;<PER>;<DATE>;<TIME>;<CLOSE>
USD000UTSTOM;D;09/01/15;000000;66.8500000
USD000UTSTOM;D;09/02/15;000000;67.0790000
USD000UTSTOM;D;09/03/15;000000;67.2000000
USD000UTSTOM;D;09/04/15;000000;68.4200000
USD000UTSTOM;D;09/07/15;000000;69.1140000
USD000UTSTOM;D;09/08/15;000000;67.9900000
USD000UTSTOM;D;09/09/15;000000;68.4850000
USD000UTSTOM;D;09/10/15;000000;67.6680000
USD000UTSTOM;D;09/11/15;000000;67.9240000
USD000UTSTOM;D;09/14/15;000000;67.4900000
USD000UTSTOM;D;09/15/15;000000;66.7000000
USD000UTSTOM;D;09/16/15;000000;65.3300000
USD000UTSTOM;D;09/17/15;000000;65.4370000
USD000UTSTOM;D;09/18/15;000000;66.5020000
USD000UTSTOM;D;09/21/15;000000;65.9880000
USD000UTSTOM;D;09/22/15;000000;66.0220000
USD000UTSTOM;D;09/23/15;000000;66.4200000
USD000UTSTOM;D;09/24/15;000000;66.0990000
USD000UTSTOM;D;09/25/15;000000;65.5300000
USD000UTSTOM;D;09/28/15;000000;66.0850000
USD000UTSTOM;D;09/29/15;000000;65.7300000
USD000UTSTOM;D;09/30/15;000000;65.3900000
USD000UTSTOM;D;10/01/15;000000;65.6500000
USD000UTSTOM;D;10/02/15;000000;66.0120000
USD000UTSTOM;D;10/05/15;000000;64.7490000
USD000UTSTOM;D;10/06/15;000000;63.3300000
USD000UTSTOM;D;10/07/15;000000;62.6640000
USD000UTSTOM;D;10/08/15;000000;61.3700000
USD000UTSTOM;D;10/09/15;000000;61.8760000
USD000UTSTOM;D;10/12/15;000000;62.2750000
USD000UTSTOM;D;10/13/15;000000;63.0390000
USD000UTSTOM;D;10/14/15;000000;62.7090000
USD000UTSTOM;D;10/15/15;000000;61.4030000
USD000UTSTOM;D;10/16/15;000000;61.2850000
USD000UTSTOM;D;10/19/15;000000;62.2620000
USD000UTSTOM;D;10/20/15;000000;62.1150000
USD000UTSTOM;D;10/21/15;000000;63.0050000
USD000UTSTOM;D;10/22/15;000000;62.5910000
USD000UTSTOM;D;10/23/15;000000;62.3800000
USD000UTSTOM;D;10/26/15;000000;63.0200000
USD000UTSTOM;D;10/27/15;000000;64.9000000
USD000UTSTOM;D;10/28/15;000000;63.9500000
USD000UTSTOM;D;10/29/15;000000;64.4000000
USD000UTSTOM;D;10/30/15;000000;63.9580000
USD000UTSTOM;D;11/02/15;000000;63.6650000
USD000UTSTOM;D;11/03/15;000000;62.6280000
USD000UTSTOM;D;11/05/15;000000;63.4500000
USD000UTSTOM;D;11/06/15;000000;64.5980000
USD000UTSTOM;D;11/09/15;000000;64.5900000
USD000UTSTOM;D;11/10/15;000000;64.5600000
USD000UTSTOM;D;11/11/15;000000;65.4150000
USD000UTSTOM;D;11/12/15;000000;66.6350000
USD000UTSTOM;D;11/13/15;000000;66.7770000
USD000UTSTOM;D;11/16/15;000000;65.2700000
USD000UTSTOM;D;11/17/15;000000;65.1480000
USD000UTSTOM;D;11/18/15;000000;64.7530000
USD000UTSTOM;D;11/19/15;000000;64.6180000
USD000UTSTOM;D;11/20/15;000000;64.7500000
USD000UTSTOM;D;11/23/15;000000;65.8360000
USD000UTSTOM;D;11/24/15;000000;65.4520000
USD000UTSTOM;D;11/25/15;000000;65.5250000
USD000UTSTOM;D;11/26/15;000000;65.8370000
USD000UTSTOM;D;11/27/15;000000;66.4800000
USD000UTSTOM;D;11/30/15;000000;66.4900000
USD000UTSTOM;D;12/01/15;000000;66.6100000
USD000UTSTOM;D;12/02/15;000000;67.5000000
